espn_id,name,team,position,points
18349,Noah Brown,DAL,WR,7.8
18766,Cedrick Wilson,DAL,WR,7.8
17418,Roosevelt Nix,PIT,RB,7.6
17870,Jacoby Brissett,IND,QB,7.6
18058,Alex Erickson,CIN,WR,7.4
18401,Davis Webb,NYG,QB,7.3
18635,Mason Rudolph,PIT,QB,7.2
18817,Akrum Wadley,TEN,RB,7.0
18464,Jacob Hollister,NE,TE,6.3
18462,Elijhaa Penny,ARI,RB,6.2
16792,Jace Amaro,KC,TE,6.2
14100,Dwayne Harris,OAK,WR,6.2
18080,Alan Cross,TB,TE,5.8
18486,C.J. Ham,MIN,RB,5.8
18768,Braxton Berrios,NE,WR,5.7
18794,Bo Scarbrough,DAL,RB,5.3
18492,Darrell Daniels,IND,TE,5.2
17704,Cameron Artis-Payne,CAR,RB,5.1
18101,Xavier Grimble,PIT,TE,4.9
18451,Maurice Harris,WSH,WR,4.7
17187,Darren Fells,CLE,TE,4.7
17193,James Wright,IND,WR,4.6
18100,Tommylee Lewis,NO,WR,4.6
18257,Jeremy Sprinkle,WSH,TE,4.6
17938,Temarrick Hemingway,LAR,TE,4.5
15873,Markus Wheaton,PHI,WR,4.5
18387,Stacy Coley,MIN,WR,4.5
18703,Justin Watson,TB,WR,4.5
17645,Ben Koyack,JAX,TE,4.3
17549,Chris Manhertz,CAR,TE,4.3
17964,Michael Thomas,LAR,WR,4.2
17170,Ryan Hewitt,CIN,RB,4.2
16797,Troy Niklas,NE,TE,4.2
14099,Luke Stocker,TEN,TE,4.1
18490,Tre Madden,SEA,RB,4.1
17956,Danny Vitale,CLE,RB,4.0
18202,Jehu Chesson,KC,WR,3.9
18050,Damiere Byrd,CAR,WR,3.9
18430,Antony Auclair,TB,TE,3.9
13226,Andre Roberts,NYJ,WR,3.6
15351,Derrick Coleman,ARI,RB,3.0
17384,Charcandrick West,KC,RB,2.5
14167,Taiwan Jones,BUF,RB,2.3
18762,Trenton Cannon,NYJ,RB,2.2
18078,Rob Kelley,WSH,RB,2.1
18340,Devante Mays,GB,RB,2.1
18052,Jordan Taylor,DEN,WR,1.7
18489,Kalif Raymond,NYG,WR,1.6
17613,Brett Hundley,GB,QB,1.3
12477,Brian Hoyer,NE,QB,1.3
14877,Nick Foles,PHI,QB,1.3
18461,David Fluellen,TEN,RB,1.2
11291,Chad Henne,KC,QB,1.2
15187,Austin Davis,SEA,QB,1.2
14878,Brandon Weeden,HOU,QB,1.2
17455,Trevor Siemian,MIN,QB,1.2
8644,Matt Cassel,DET,QB,1.2
12471,Chase Daniel,CHI,QB,1.1
17533,Sean Mannion,LAR,QB,1.1
15864,Geno Smith,LAC,QB,1.1
15948,Matt Barkley,CIN,QB,1.1
15803,EJ Manuel,OAK,QB,1.1
5615,Matt Schaub,ATL,QB,1.1
18268,C.J. Beathard,SF,QB,1.1
13199,Colt McCoy,WSH,QB,1.1
13987,Blaine Gabbert,TEN,QB,1.1
14879,Brock Osweiler,MIA,QB,1.1
17814,Paxton Lynch,DEN,QB,1.1
16943,Tom Savage,NO,QB,1.1
17872,Cody Kessler,JAX,QB,1.0
18730,Mike White,DAL,QB,1.0
17342,Fitzgerald Toussaint,PIT,RB,0.9
16285,Tim Wright,KC,TE,0.8
17530,Kaelin Clay,BUF,WR,0.5
18035,Byron Marshall,WSH,RB,0.3
17755,Lucky Whitehead,NYJ,WR,0.3
18470,Victor Bolden Jr.,SF,WR,0.2
16140,Ryan Griffin,TB,QB,0.2
18304,Isaiah McKenzie,DEN,WR,0.2
17921,Wendell Smallwood,PHI,RB,0.2
18376,Matthew Dayes,CLE,RB,0.1
18006,Josh Ferguson,IND,RB,0.1
4260,Shaun Hill,MIN,QB,0.0
4459,Carson Palmer,ARI,QB,0.0
4512,Anquan Boldin,BUF,WR,0.0
4527,Jason Witten,DAL,TE,0.0
5362,Antonio Gates,LAC,TE,0.0
8461,Mike Nugent,CHI,K,0.0
8627,Derek Anderson,FA,QB,0.0
9329,Nick Novak,LAC,K,0.0
9530,John Kuhn,NO,RB,0.0
9597,Jay Cutler,FA,QB,0.0
9613,DeAngelo Williams,PIT,RB,0.0
9635,Kellen Clemens,LAC,QB,0.0
9639,Anthony Fasano,MIA,TE,0.0
9643,Devin Hester,SEA,WR,0.0
9667,Charlie Whitehurst,CLE,QB,0.0
10447,Calvin Johnson,DET,WR,0.0
10452,Adrian Peterson,FA,RB,0.0
10487,Drew Stanton,CLE,QB,0.0
10605,Brent Celek,PHI,TE,0.0
10621,Nick Folk,TB,K,0.0
10770,Eric Weems,TEN,WR,0.0
11128,Matt Moore,FA,QB,0.0
11238,Darren McFadden,DAL,RB,0.0
11258,Chris Johnson,ARI,RB,0.0
11276,Eddie Royal,CHI,WR,0.0
11278,Matt Forte,NYJ,RB,0.0
11295,Martellus Bennett,NE,TE,0.0
11307,Jamaal Charles,FA,RB,0.0
11318,Harry Douglas,TEN,WR,0.0
11364,Gary Barnidge,CLE,TE,0.0
11369,Jerome Felton,BUF,RB,0.0
11383,Tim Hightower,SF,RB,0.0
11387,Matthew Slater,NE,WR,0.0
11392,Kellen Davis,NYJ,TE,0.0
11394,Josh Johnson,OAK,QB,0.0
11467,Justin Forsett,DEN,RB,0.0
11658,Mike Tolbert,BUF,RB,0.0
11688,Dan Carpenter,BUF,K,0.0
11708,Matthew Mulligan,DET,TE,0.0
11717,Marcel Reece,SEA,RB,0.0
11737,Connor Barth,CHI,K,0.0
11788,Danny Woodhead,BAL,RB,0.0
12473,Josh Freeman,IND,QB,0.0
